label,x,y,text,id,position,width,distance
Bank,2844.0,1984.0,15 APR 2021,12,7,295.0,1865.401297308437
Bank,2845.0,1984.0,15,12,7,69.0,1865.8566397234274
Bank,2929.0,1976.0,APR,12,7,91.0,1898.6218686194468
Bank,3035.0,1964.0,2021,12,7,102.0,1942.8023574208469
Bank,424.0,2082.0,Reference : TT/21105/,12,6,772.0,2358.4151458129672
Bank,850.0,2083.0,TT/21105/,12,6,345.0,2099.672593525
Bank,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,12,7,821.0,1837.9314459467741
Bank,2816.0,2066.0,LIBANO-FRANCAISE,12,7,567.0,1926.678489006404
Bank,417.0,2220.0,Stamp duty paid in cash,12,6,856.0,2467.527710077437
Bank,421.0,2220.0,Stamp,12,6,176.0,2464.9716022705006
Bank,623.0,2220.0,duty,12,6,150.0,2341.15206682522
Bank,803.0,2221.0,paid,12,6,159.0,2241.2648214791575
Bank,996.0,2222.0,in,12,6,79.0,2145.7404316459156
Bank,1110.0,2223.0,cash,12,6,158.0,2096.0021469454655
Bank,2566.0,2214.0,Branch MAZRAAT YACHOUH,12,7,799.0,1975.328327139567
Bank,2820.0,2207.0,MAZRAAT,12,7,256.0,2056.7160717998972
Bank,3113.0,2197.0,YACHOUH,12,7,241.0,2182.1548982599747
Date,1127.0,627.0,15/04/21 11:47,1,4,508.0,636.6608202174845
Credited account,1996.0,400.0,LIBANO-FRANÇAISE,2,2,678.0,1626.1027027835603
Credited account,1359.0,944.0,6-001-840-JDE,2,4,466.0,890.1263955191981
Credited account,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,2,7,609.0,2375.693582935308
Credited account,2809.0,1860.0,LIBANO-FRANÇAISE,2,7,356.0,2507.469042680288
Credited account,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,2,7,821.0,2375.310506018108
Credited account,2816.0,2066.0,LIBANO-FRANCAISE,2,7,567.0,2594.9678225365337
Cash collected,1996.0,400.0,LIBANO-FRANÇAISE,3,0,678.0,688.9941944603016
Cash collected,1127.0,627.0,15/04/21 11:47,3,1,508.0,951.1808450552397
Cash collected,1128.0,628.0,15/04/21,3,1,285.0,949.8215621894462
Cash collected,1449.0,628.0,11:47,3,1,187.0,686.804193347711
Cash collected,488.0,712.0,Credit advice,3,1,453.0,1518.2941085310185
Cash collected,490.0,714.0,Credit,3,1,197.0,1515.8618010887403
Cash collected,724.0,706.0,advice,3,1,208.0,1292.7292833381628
Cash collected,486.0,769.0,Cash deposit,3,1,413.0,1507.1463100840608
Cash collected,486.0,771.0,Cash,3,1,128.0,1506.7242614360466
Cash collected,646.0,770.0,deposit,3,1,250.0,1350.9600290164028
Cash collected,2692.0,1084.0,LBP,3,4,104.0,733.0109139705902
Cash collected,3033.0,1084.0,"2,040,000",3,4,306.0,1074.0074487637412
Cash collected,2694.0,1150.0,USD,3,7,108.0,737.6103307302576
Cash collected,3309.0,1155.0,0,3,7,37.0,1351.6615700684843
Cash collected,2687.0,1209.0,USD,3,7,120.0,737.9871272590058
Cash collected,3217.0,1215.0,0.66,3,7,137.0,1264.3943214045214
Cash collected,3090.0,1339.0,"1,342.11",3,7,265.0,1158.517155677895
Cash collected,2696.0,1470.0,USD,3,7,118.0,830.1162569182704
Cash collected,3097.0,1466.0,"1,341.45",3,7,261.0,1199.1363558828496
Cash collected,3032.0,1529.0,19/04/2021,3,7,330.0,1160.0905137100294
Cash collected,2917.0,1597.0,"1,520.0000000",3,7,448.0,1084.8248706588543
Cash collected,429.0,1745.0,Ordering customer :,3,6,701.0,1665.0972944545913
Cash collected,429.0,1746.0,Ordering,3,6,284.0,1665.4921194649946
Cash collected,747.0,1746.0,customer,3,6,300.0,1379.096805884199
Cash collected,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,3,7,609.0,1054.596131227495
Cash collected,2671.0,1878.0,ANQUE,3,7,128.0,1063.5055241981586
Cash collected,2809.0,1860.0,LIBANO-FRANÇAISE,3,7,356.0,1148.2525854532182
Cash collected,2844.0,1984.0,15 APR 2021,3,7,295.0,1259.3811972552235
Cash collected,2845.0,1984.0,15,3,7,69.0,1260.0841241758424
Cash collected,2929.0,1976.0,APR,3,7,91.0,1315.0832673256853
Cash collected,3035.0,1964.0,2021,3,7,102.0,1387.4984684676233
Cash collected,424.0,2082.0,Reference : TT/21105/,3,6,772.0,1828.7320744165888
Cash collected,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,3,7,821.0,1155.1887291693943
Cash collected,2816.0,2066.0,LIBANO-FRANCAISE,3,7,567.0,1300.3587966403734
Cash collected,417.0,2220.0,Stamp duty paid in cash,3,6,856.0,1912.9004155993066
Cash collected,421.0,2220.0,Stamp,3,6,176.0,1909.677459677419
Cash collected,623.0,2220.0,duty,3,6,150.0,1751.091088436007
Cash collected,803.0,2221.0,paid,3,6,159.0,1618.6491281312328
Cash collected,1110.0,2223.0,cash,3,6,158.0,1417.4011429373127
Cash collected,2566.0,2214.0,Branch MAZRAAT YACHOUH,3,7,799.0,1279.189196327111
Cash collected,2820.0,2207.0,MAZRAAT,3,7,256.0,1411.9072207478791
Cash collected,3113.0,2197.0,YACHOUH,3,7,241.0,1600.4989846919616
Charges,1996.0,400.0,LIBANO-FRANÇAISE,4,0,678.0,752.909689139408
Charges,1127.0,627.0,15/04/21 11:47,4,1,508.0,983.7931693196492
Charges,1128.0,628.0,15/04/21,4,1,285.0,982.413863908689
